depth_nm,initial_concentration_cm3,final_concentration_cm3
263.75,3.5394850142035923e+17,3.651180641908664e+17
266.25,3.316736243922094e+17,3.556376228836404e+17
268.75,3.100245309165862e+17,3.460535052577916e+17
271.25,2.890649566458657e+17,3.363876572439653e+17
273.75,2.6884941473615786e+17,3.266616642197267e+17
276.25,2.494232933247143e+17,3.168966748446644e+17
278.75000000000006,2.3082305615669968e+17,3.071133292643529e+17
281.25,2.1307653626117005e+17,2.973316919864399e+17
283.75,1.962033117281957e+17,2.8757118969039526e+17
286.25,1.8021515206259606e+17,2.7785055418982797e+17
288.75,1.6511652327718323e+17,2.6818777072328086e+17
291.25,1.509051398265803e+17,2.5860003170636147e+17
293.75,1.3757255165338378e+17,2.491036960354257e+17
296.25,1.2510475499931984e+17,2.3971425399107808e+17
298.75,1.1348281619964798e+17,2.3044629774895686e+17
301.25,1.0268349840153874e+17,2.2131349746583197e+17
303.75,9.267988199741845e+16,2.1232858287138387e+17
306.25000000000006,8.344197051267707e+16,2.0350333026032646e+17
308.75,7.493727470446755e+16,1.9484855474610285e+17
311.25,6.7131368686355096e+16,1.8637410760635974e+17
313.75,5.998841296589055e+16,1.7808887852207814e+17
316.25,5.347164034449645e+16,1.7000080248659158e+17
318.75,4.754380165982757e+16,1.6211687113804506e+17
321.25,4.21675693313282e+16,1.544431482490903e+17
323.75,3.7305897584539736e+16,1.4698478909084304e+17
326.25,3.2922339066494504e+16,1.3974606337444138e+17
328.75000000000006,2.8981318314096812e+16,1.3273038146276362e+17
331.25,2.5448363193662836e+16,1.259403235371336e+17
333.75,2.2290295989529624e+16,1.1937767139891536e+17
336.25,1.947538628228798e+16,1.130434425837884e+17
338.75,1.6973468124477444e+16,1.0693792646703547e+17
341.25,1.4756024297293562e+16,1.0106072204123147e+17
343.75,1.2796240621447114e+16,9.541077705312608e+16
346.25,1.1069033405560974e+16,8.998642819412347e+16
348.75,9551053154183120.0,8.478544204833584e+16
351.25,8220667633065101.0,7.980505651359736e+16
353.75,7057927310627519.0,7.504202242380598e+16
356.25000000000006,6044516070397497.0,7.049264511534358e+16
358.75,5163689928424432.0,6.615282569589308e+16
361.25,4400206300654263.5,6.201810179051123e+16
363.75,3740246155867294.5,5.8083687557118776e+16
366.25,3171331167298910.5,5.43445127814542e+16
368.75,2682237746980750.5,5.079526087978944e+16
371.25,2262909616874414.5,4.743040565614682e+16
373.75,1904370344912532.2,4.424424667922364e+16
376.25,1598637056181506.8,4.1230943162534456e+16
378.75,1338636322939310.2,3.8384546249298824e+16
381.25,1118123044464327.9,3.5699029621168572e+16
383.75000000000006,931602950670069.1,3.316831836690048e+16
386.25,774259203151176.8,3.0786316063410804e+16
388.75,641883424431481.1,2.8546930037207664e+16
391.25,530811360760455.7,2.6444094788905972e+16
393.75,437863275529224.25,2.4471793577309376e+16
396.25,360289078595376.4,2.262407817235448e+16
398.75,295718120596147.2,2.089508679799876e+16
401.25,242113519574487.97,1.9279060296880148e+16
403.75,197730838690738.38,1.7770356558258382e+16
406.25,161080897111187.72,1.6363463259367856e+16
408.75,130896469989241.11,1.5053008977872848e+16
411.25000000000006,106102616426387.97,1.3833772739635412e+16
413.75,85790365100254.4,1.270069207150911e+16
